iter	Passed	Remaining
401	16041	23862
402	16083	23826
403	16124	23788
404	16165	23749
405	16207	23711
406	16250	23676
407	16290	23637
408	16330	23597
409	16368	23554
410	16406	23512
411	16446	23472
412	16487	23433
413	16527	23393
414	16567	23354
415	16609	23317
416	16650	23278
417	16688	23236
418	16729	23197
419	16771	23160
420	16811	23120
421	16850	23080
422	16890	23039
423	16928	22997
424	16968	22957
425	17004	22912
426	17043	22870
427	17080	22826
428	17117	22783
429	17155	22740
430	17191	22696
431	17228	22652
432	17266	22610
433	17306	22570
434	17347	22531
435	17385	22489
436	17422	22446
437	17459	22401
438	17495	22358
439	17532	22314
440	17570	22272
441	17607	22228
442	17645	22186
443	17681	22141
444	17719	22099
445	17756	22056
446	17796	22016
447	17834	21974
448	17872	21932
449	17911	21891
450	17948	21848
451	17986	21806
452	18021	21761
453	18059	21719
454	18097	21677
455	18136	21636
456	18171	21591
457	18208	21547
458	18247	21506
459	18284	21464
460	18324	21424
461	18360	21380
462	18396	21337
463	18435	21295
464	18473	21254
465	18513	21214
466	18552	21174
467	18590	21132
468	18626	21088
469	18664	21047
470	18701	21004
471	18738	20961
472	18776	20920
473	18814	20878
474	18852	20836
475	18888	20793
476	18926	20751
477	18964	20710
478	19001	20668
479	19038	20624
480	19075	20581
481	19111	20538
482	19151	20499
483	19188	20456
484	19225	20414
485	19262	20372
486	19303	20333
487	19338	20289
488	19373	20245
489	19410	20202
490	19447	20160
491	19484	20117
492	19520	20075
493	19559	20034
494	19597	19993
495	19636	19953
496	19676	19913
497	19713	19871
498	19757	19836
499	19795	19795
500	19833	19753
501	19869	19711
502	19907	19669
503	19943	19627
504	19979	19583
505	20016	19542
506	20052	19498
507	20093	19460
508	20133	19421
509	20171	19380
510	20212	19342
511	20250	19301
512	20287	19258
513	20324	19217
514	20360	19174
515	20398	19133
516	20436	19092
517	20476	19053
518	20516	19014
519	20553	18972
520	20587	18927
521	20623	18885
522	20659	18842
523	20694	18798
524	20728	18754
525	20764	18711
526	20798	18667
527	20835	18625
528	20870	18581
529	20905	18538
530	20941	18496
531	20976	18452
532	21010	18409
533	21045	18365
534	21080	18322
535	21115	18279
536	21149	18235
537	21184	18192
538	21221	18150
539	21257	18108
540	21292	18065
541	21326	18021
542	21363	17979
543	21398	17936
544	21432	17893
545	21468	17851
546	21503	17807
547	21537	17764
548	21572	17722
549	21608	17679
550	21642	17635
551	21683	17598
552	21720	17556
553	21756	17515
554	21793	17474
555	21831	17433
556	21871	17395
557	21911	17356
558	21949	17316
559	21985	17274
560	22023	17234
561	22058	17191
562	22094	17149
563	22131	17108
564	22166	17066
565	22201	17024
